            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2462759.500000000, A.D. 2030-Sep-15 00:00:00.0000, -7.925002001468082E-01,  1.426971570398671E+00,  4.935537839125940E-02, -1.171063550437011E-02, -5.601614416155089E-03,  1.696041311022894E-04,  9.431512299891616E-03,  1.633015732727313E+00,  7.934444910547631E-04,
2462760.500000000, A.D. 2030-Sep-16 00:00:00.0000, -8.041837482297107E-01,  1.421321490064507E+00,  4.952330276011778E-02, -1.165634130405408E-02, -5.698458853205122E-03,  1.662435229601446E-04,  9.436070830940644E-03,  1.633805017911331E+00,  7.851188645445180E-04,
2462761.500000000, A.D. 2030-Sep-17 00:00:00.0000, -8.158126448060971E-01,  1.415574828203997E+00,  4.968786327671047E-02, -1.160133330336899E-02, -5.794776857068007E-03,  1.628764478546706E-04,  9.440581156499716E-03,  1.634585956573499E+00,  7.767515248372190E-04,
2462762.500000000, A.D. 2030-Sep-18 00:00:00.0000, -8.273861785856188E-01,  1.409732113085334E+00,  4.984905357665827E-02, -1.154561651673564E-02, -5.890564741676738E-03,  1.595031109776126E-04,  9.445043037245842E-03,  1.635358507276323E+00,  7.683430404899293E-04,
2462763.500000000, A.D. 2030-Sep-19 00:00:00.0000, -8.389036432764737E-01,  1.403793876647106E+00,  5.000686749498991E-02, -1.148919594695129E-02, -5.985818866008396E-03,  1.561237147568040E-04,  9.449456237124839E-03,  1.636122629148290E+00,  7.598939732025459E-04,
2462764.500000000, A.D. 2030-Sep-20 00:00:00.0000, -8.503643375756176E-01,  1.397760654456784E+00,  5.016129906486363E-02, -1.143207657813643E-02, -6.080535627662368E-03,  1.527384561223333E-04,  9.453820523331378E-03,  1.636878281880406E+00,  7.514048790939333E-04,
2462765.500000000, A.D. 2030-Sep-21 00:00:00.0000, -8.617675651596433E-01,  1.391632985670767E+00,  5.031234251670019E-02, -1.137426337480140E-02, -6.174711461024272E-03,  1.493475264317410E-04,  9.458135666296131E-03,  1.637625425723975E+00,  7.428763089657274E-04,
2462766.500000000, A.D. 2030-Sep-22 00:00:00.0000, -8.731126346752499E-01,  1.385411412996378E+00,  5.045999227727501E-02, -1.131576128934064E-02, -6.268342834051046E-03,  1.459511153806333E-04,  9.462401439678653E-03,  1.638364021489364E+00,  7.343088142800767E-04,
2462767.500000000, A.D. 2030-Sep-23 00:00:00.0000, -8.843988597288469E-01,  1.379096482654527E+00,  5.060424296850308E-02, -1.125657527283212E-02, -6.361426244800660E-03,  1.425494164223002E-04,  9.466617620357958E-03,  1.639094030544370E+00,  7.257029554201239E-04,
2462768.500000000, A.D. 2030-Sep-24 00:00:00.0000, -8.956255588762044E-01,  1.372688744341693E+00,  5.074508940624263E-02, -1.119671027780442E-02, -6.453958225424735E-03,  1.391426277918185E-04,  9.470783988416996E-03,  1.639815414811538E+00,  7.170592995457093E-04,
2462769.500000000, A.D. 2030-Sep-25 00:00:00.0000, -9.067920556129797E-01,  1.366188751191622E+00,  5.088252659947782E-02, -1.113617124965338E-02, -6.545935351323008E-03,  1.357309477044609E-04,  9.474900327125913E-03,  1.640528136765256E+00,  7.083784079282236E-04,
2462770.500000000, A.D. 2030-Sep-26 00:00:00.0000, -9.178976783655242E-01,  1.359597059738297E+00,  5.101654974967987E-02, -1.107496311849425E-02, -6.637354245273842E-03,  1.323145700955857E-04,  9.478966422930030E-03,  1.641232159429678E+00,  6.996608276191601E-04,
